id,first_name,second_name,last_name,birth_date,group,admission_year,education_form
48,Тарас,Жоресович,Селиверстов,2007-11-18,"{'id': 2, 'number': 102, 'course': 2, 'institute': 'Институт энергетики и автоматизированных систем', 'department': 'Кафедра информатики и информационной безопасности'}",2024,Заочная
49,Юлий,Юльевич,Котов,2007-12-08,"{'id': 2, 'number': 102, 'course': 2, 'institute': 'Институт энергетики и автоматизированных систем', 'department': 'Кафедра информатики и информационной безопасности'}",2024,Заочная
50,Гордей,Харламович,Савельев,2004-10-04,"{'id': 2, 'number': 102, 'course': 2, 'institute': 'Институт энергетики и автоматизированных систем', 'department': 'Кафедра информатики и информационной безопасности'}",2024,Заочная
51,Зинаида,Игоревна,Комиссарова,2009-03-21,"{'id': 3, 'number': 103, 'course': 3, 'institute': 'Институт энергетики и автоматизированных систем', 'department': 'Кафедра вычислительной техники и программирования'}",2023,Очная
52,Святослав,Демидович,Егоров,2007-11-01,"{'id': 3, 'number': 103, 'course': 3, 'institute': 'Институт энергетики и автоматизированных систем', 'department': 'Кафедра вычислительной техники и программирования'}",2023,Заочная
53,Анжела,Ильинична,Фролова,2004-12-21,"{'id': 3, 'number': 103, 'course': 3, 'institute': 'Институт энергетики и автоматизированных систем', 'department': 'Кафедра вычислительной техники и программирования'}",2023,Заочная
54,Лора,Кузьминична,Рожкова,2001-09-20,"{'id': 3, 'number': 103, 'course': 3, 'institute': 'Институт энергетики и автоматизированных систем', 'department': 'Кафедра вычислительной техники и программирования'}",2023,Заочная
55,Всеслав,Вилорович,Жуков,2006-11-13,"{'id': 3, 'number': 103, 'course': 3, 'institute': 'Институт энергетики и автоматизированных систем', 'department': 'Кафедра вычислительной техники и программирования'}",2023,Заочная
56,Виктория,Даниловна,Голубева,2007-05-29,"{'id': 3, 'number': 103, 'course': 3, 'institute': 'Институт энергетики и автоматизированных систем', 'department': 'Кафедра вычислительной техники и программирования'}",2023,Заочная
57,Орест,Игнатович,Потапов,2008-04-11,"{'id': 3, 'number': 103, 'course': 3, 'institute': 'Институт энергетики и автоматизированных систем', 'department': 'Кафедра вычислительной техники и программирования'}",2023,Заочная
58,Наина,Аркадьевна,Ершова,2007-07-01,"{'id': 3, 'number': 103, 'course': 3, 'institute': 'Институт энергетики и автоматизированных систем', 'department': 'Кафедра вычислительной техники и программирования'}",2023,Заочная
59,Никита,Адамович,Гордеев,2006-10-27,"{'id': 3, 'number': 103, 'course': 3, 'institute': 'Институт энергетики и автоматизированных систем', 'department': 'Кафедра вычислительной техники и программирования'}",2023,Очная
60,Ольга,Александровна,Фокина,2006-05-02,"{'id': 3, 'number': 103, 'course': 3, 'institute': 'Институт энергетики и автоматизированных систем', 'department': 'Кафедра вычислительной техники и программирования'}",2023,Заочная
61,Лаврентий,Терентьевич,Красильников,2007-06-24,"{'id': 3, 'number': 103, 'course': 3, 'institute': 'Институт энергетики и автоматизированных систем', 'department': 'Кафедра вычислительной техники и программирования'}",2023,Очная
62,Тимофей,Гурьевич,Мартынов,2004-01-31,"{'id': 3, 'number': 103, 'course': 3, 'institute': 'Институт энергетики и автоматизированных систем', 'department': 'Кафедра вычислительной техники и программирования'}",2023,Заочная
63,Ким,Феодосьевич,Мартынов,2000-11-04,"{'id': 3, 'number': 103, 'course': 3, 'institute': 'Институт энергетики и автоматизированных систем', 'department': 'Кафедра вычислительной техники и программирования'}",2023,Очная
64,Никита,Игоревич,Агафонов,2007-03-25,"{'id': 3, 'number': 103, 'course': 3, 'institute': 'Институт энергетики и автоматизированных систем', 'department': 'Кафедра вычислительной техники и программирования'}",2023,Очная
65,Глафира,Рубеновна,Русакова,2002-07-10,"{'id': 3, 'number': 103, 'course': 3, 'institute': 'Институт энергетики и автоматизированных систем', 'department': 'Кафедра вычислительной техники и программирования'}",2023,Заочная
66,Юлия,Тарасовна,Козлова,2007-01-20,"{'id': 3, 'number': 103, 'course': 3, 'institute': 'Институт энергетики и автоматизированных систем', 'department': 'Кафедра вычислительной техники и программирования'}",2023,Очная
67,Христофор,Адрианович,Михайлов,2007-08-23,"{'id': 3, 'number': 103, 'course': 3, 'institute': 'Институт энергетики и автоматизированных систем', 'department': 'Кафедра вычислительной техники и программирования'}",2023,Заочная
68,Вера,Рубеновна,Королева,2001-03-16,"{'id': 3, 'number': 103, 'course': 3, 'institute': 'Институт энергетики и автоматизированных систем', 'department': 'Кафедра вычислительной техники и программирования'}",2023,Заочная
69,Иванна,Мироновна,Большакова,2003-12-14,"{'id': 3, 'number': 103, 'course': 3, 'institute': 'Институт энергетики и автоматизированных систем', 'department': 'Кафедра вычислительной техники и программирования'}",2023,Очная
70,Радован,Зиновьевич,Ширяев,2006-10-19,"{'id': 3, 'number': 103, 'course': 3, 'institute': 'Институт энергетики и автоматизированных систем', 'department': 'Кафедра вычислительной техники и программирования'}",2023,Заочная
71,Ирина,Николаевна,Максимова,2001-09-28,"{'id': 3, 'number': 103, 'course': 3, 'institute': 'Институт энергетики и автоматизированных систем', 'department': 'Кафедра вычислительной техники и программирования'}",2023,Заочная
72,Олимпиада,Архиповна,Дементьева,2001-03-27,"{'id': 3, 'number': 103, 'course': 3, 'institute': 'Институт энергетики и автоматизированных систем', 'department': 'Кафедра вычислительной техники и программирования'}",2023,Очная
73,Милий,Давидович,Кулагин,2001-07-08,"{'id': 3, 'number': 103, 'course': 3, 'institute': 'Институт энергетики и автоматизированных систем', 'department': 'Кафедра вычислительной техники и программирования'}",2023,Очная
74,Андрон,Аксёнович,Селиверстов,2004-07-22,"{'id': 3, 'number': 103, 'course': 3, 'institute': 'Институт энергетики и автоматизированных систем', 'department': 'Кафедра вычислительной техники и программирования'}",2023,Заочная
75,Евпраксия,Архиповна,Ефремова,2002-12-10,"{'id': 3, 'number': 103, 'course': 3, 'institute': 'Институт энергетики и автоматизированных систем', 'department': 'Кафедра вычислительной техники и программирования'}",2023,Очная
76,Жанна,Владимировна,Мухина,2002-04-18,"{'id': 4, 'number': 104, 'course': 2, 'institute': 'Институт строительства, архитектуры и искусства', 'department': 'Кафедра архитектуры и изобразительного искусства'}",2024,Заочная
77,Татьяна,Даниловна,Абрамова,2004-09-16,"{'id': 4, 'number': 104, 'course': 2, 'institute': 'Институт строительства, архитектуры и искусства', 'department': 'Кафедра архитектуры и изобразительного искусства'}",2024,Очная
78,Маргарита,Викторовна,Кошелева,2002-04-19,"{'id': 4, 'number': 104, 'course': 2, 'institute': 'Институт строительства, архитектуры и искусства', 'department': 'Кафедра архитектуры и изобразительного искусства'}",2024,Заочная
79,Гремислав,Ефстафьевич,Киселев,2000-10-14,"{'id': 4, 'number': 104, 'course': 2, 'institute': 'Институт строительства, архитектуры и искусства', 'department': 'Кафедра архитектуры и изобразительного искусства'}",2024,Очная
80,Леонтий,Матвеевич,Афанасьев,2003-09-22,"{'id': 4, 'number': 104, 'course': 2, 'institute': 'Институт строительства, архитектуры и искусства', 'department': 'Кафедра архитектуры и изобразительного искусства'}",2024,Очная
81,Анжела,Эдуардовна,Пахомова,2004-06-25,"{'id': 4, 'number': 104, 'course': 2, 'institute': 'Институт строительства, архитектуры и искусства', 'department': 'Кафедра архитектуры и изобразительного искусства'}",2024,Очная
82,Валентина,Кузьминична,Якушева,2002-05-30,"{'id': 4, 'number': 104, 'course': 2, 'institute': 'Институт строительства, архитектуры и искусства', 'department': 'Кафедра архитектуры и изобразительного искусства'}",2024,Очная
83,Татьяна,Аскольдовна,Коновалова,2007-08-21,"{'id': 4, 'number': 104, 'course': 2, 'institute': 'Институт строительства, архитектуры и искусства', 'department': 'Кафедра архитектуры и изобразительного искусства'}",2024,Заочная
84,Моисей,Арсеньевич,Селезнев,2006-02-26,"{'id': 4, 'number': 104, 'course': 2, 'institute': 'Институт строительства, архитектуры и искусства', 'department': 'Кафедра архитектуры и изобразительного искусства'}",2024,Заочная
85,Агафья,Николаевна,Бирюкова,2008-09-09,"{'id': 4, 'number': 104, 'course': 2, 'institute': 'Институт строительства, архитектуры и искусства', 'department': 'Кафедра архитектуры и изобразительного искусства'}",2024,Очная
86,Вацлав,Феликсович,Кондратьев,2006-07-06,"{'id': 4, 'number': 104, 'course': 2, 'institute': 'Институт строительства, архитектуры и искусства', 'department': 'Кафедра архитектуры и изобразительного искусства'}",2024,Заочная
87,Родион,Витальевич,Кудряшов,2003-05-07,"{'id': 4, 'number': 104, 'course': 2, 'institute': 'Институт строительства, архитектуры и искусства', 'department': 'Кафедра архитектуры и изобразительного искусства'}",2024,Очная
88,Станимир,Егорович,Горбачев,2008-07-29,"{'id': 4, 'number': 104, 'course': 2, 'institute': 'Институт строительства, архитектуры и искусства', 'department': 'Кафедра архитектуры и изобразительного искусства'}",2024,Очная
89,Рубен,Феодосьевич,Шарапов,2004-11-30,"{'id': 4, 'number': 104, 'course': 2, 'institute': 'Институт строительства, архитектуры и искусства', 'department': 'Кафедра архитектуры и изобразительного искусства'}",2024,Заочная
90,Любомир,Демьянович,Никонов,2001-10-28,"{'id': 4, 'number': 104, 'course': 2, 'institute': 'Институт строительства, архитектуры и искусства', 'department': 'Кафедра архитектуры и изобразительного искусства'}",2024,Заочная
91,Ирина,Петровна,Николаева,2008-04-03,"{'id': 4, 'number': 104, 'course': 2, 'institute': 'Институт строительства, архитектуры и искусства', 'department': 'Кафедра архитектуры и изобразительного искусства'}",2024,Заочная
92,Филарет,Тарасович,Ширяев,2000-11-02,"{'id': 4, 'number': 104, 'course': 2, 'institute': 'Институт строительства, архитектуры и искусства', 'department': 'Кафедра архитектуры и изобразительного искусства'}",2024,Очная
93,Серафим,Зиновьевич,Королев,2008-08-23,"{'id': 4, 'number': 104, 'course': 2, 'institute': 'Институт строительства, архитектуры и искусства', 'department': 'Кафедра архитектуры и изобразительного искусства'}",2024,Заочная
94,Екатерина,Матвеевна,Лаврентьева,2004-09-29,"{'id': 4, 'number': 104, 'course': 2, 'institute': 'Институт строительства, архитектуры и искусства', 'department': 'Кафедра архитектуры и изобразительного искусства'}",2024,Заочная
95,Лукия,Игоревна,Бобылева,2005-01-18,"{'id': 4, 'number': 104, 'course': 2, 'institute': 'Институт строительства, архитектуры и искусства', 'department': 'Кафедра архитектуры и изобразительного искусства'}",2024,Заочная
96,Федор,Августович,Михеев,2003-08-08,"{'id': 4, 'number': 104, 'course': 2, 'institute': 'Институт строительства, архитектуры и искусства', 'department': 'Кафедра архитектуры и изобразительного искусства'}",2024,Очная
97,Анжелика,Егоровна,Молчанова,2007-04-07,"{'id': 4, 'number': 104, 'course': 2, 'institute': 'Институт строительства, архитектуры и искусства', 'department': 'Кафедра архитектуры и изобразительного искусства'}",2024,Очная
98,Пелагея,Федоровна,Мишина,2004-06-09,"{'id': 4, 'number': 104, 'course': 2, 'institute': 'Институт строительства, архитектуры и искусства', 'department': 'Кафедра архитектуры и изобразительного искусства'}",2024,Заочная
99,Олимпиада,Рудольфовна,Третьякова,2000-08-23,"{'id': 4, 'number': 104, 'course': 2, 'institute': 'Институт строительства, архитектуры и искусства', 'department': 'Кафедра архитектуры и изобразительного искусства'}",2024,Очная
100,Вадим,Ерофеевич,Поляков,2007-03-25,"{'id': 4, 'number': 104, 'course': 2, 'institute': 'Институт строительства, архитектуры и искусства', 'department': 'Кафедра архитектуры и изобразительного искусства'}",2024,Очная
101,Зинаида,Константиновна,Нестерова,2006-08-18,"{'id': 5, 'number': 105, 'course': 3, 'institute': 'Институт естествознания и стандартизации', 'department': 'Кафедра прикладной математики и информатики'}",2023,Очная
102,Савватий,Изотович,Родионов,2005-12-23,"{'id': 5, 'number': 105, 'course': 3, 'institute': 'Институт естествознания и стандартизации', 'department': 'Кафедра прикладной математики и информатики'}",2023,Очная
103,Людмила,Робертовна,Дорофеева,2005-07-26,"{'id': 5, 'number': 105, 'course': 3, 'institute': 'Институт естествознания и стандартизации', 'department': 'Кафедра прикладной математики и информатики'}",2023,Очная
104,Ипатий,Даниилович,Ковалев,2003-08-17,"{'id': 5, 'number': 105, 'course': 3, 'institute': 'Институт естествознания и стандартизации', 'department': 'Кафедра прикладной математики и информатики'}",2023,Заочная
105,Лука,Валерианович,Кононов,2003-07-02,"{'id': 5, 'number': 105, 'course': 3, 'institute': 'Институт естествознания и стандартизации', 'department': 'Кафедра прикладной математики и информатики'}",2023,Заочная
106,Евдокия,Даниловна,Гришина,2008-08-02,"{'id': 5, 'number': 105, 'course': 3, 'institute': 'Институт естествознания и стандартизации', 'department': 'Кафедра прикладной математики и информатики'}",2023,Очная
107,Ирина,Эдуардовна,Мишина,2009-04-10,"{'id': 5, 'number': 105, 'course': 3, 'institute': 'Институт естествознания и стандартизации', 'department': 'Кафедра прикладной математики и информатики'}",2023,Очная
108,Фёкла,Ильинична,Комарова,2003-08-27,"{'id': 5, 'number': 105, 'course': 3, 'institute': 'Институт естествознания и стандартизации', 'department': 'Кафедра прикладной математики и информатики'}",2023,Очная
109,Кира,Евгеньевна,Денисова,2003-05-28,"{'id': 5, 'number': 105, 'course': 3, 'institute': 'Институт естествознания и стандартизации', 'department': 'Кафедра прикладной математики и информатики'}",2023,Очная
110,Ладислав,Авдеевич,Рогов,2002-07-03,"{'id': 5, 'number': 105, 'course': 3, 'institute': 'Институт естествознания и стандартизации', 'department': 'Кафедра прикладной математики и информатики'}",2023,Очная
111,Кир,Андреевич,Туров,2001-04-11,"{'id': 5, 'number': 105, 'course': 3, 'institute': 'Институт естествознания и стандартизации', 'department': 'Кафедра прикладной математики и информатики'}",2023,Заочная
112,Фадей,Ермолаевич,Игнатов,2002-07-01,"{'id': 5, 'number': 105, 'course': 3, 'institute': 'Институт естествознания и стандартизации', 'department': 'Кафедра прикладной математики и информатики'}",2023,Очная
113,Селиверст,Бориславович,Уваров,2000-07-23,"{'id': 5, 'number': 105, 'course': 3, 'institute': 'Институт естествознания и стандартизации', 'department': 'Кафедра прикладной математики и информатики'}",2023,Очная
114,Ульяна,Ильинична,Воронова,2008-06-29,"{'id': 5, 'number': 105, 'course': 3, 'institute': 'Институт естествознания и стандартизации', 'department': 'Кафедра прикладной математики и информатики'}",2023,Очная
115,Нинель,Львовна,Герасимова,2001-03-23,"{'id': 5, 'number': 105, 'course': 3, 'institute': 'Институт естествознания и стандартизации', 'department': 'Кафедра прикладной математики и информатики'}",2023,Очная
116,Зоя,Романовна,Андреева,2001-06-18,"{'id': 5, 'number': 105, 'course': 3, 'institute': 'Институт естествознания и стандартизации', 'department': 'Кафедра прикладной математики и информатики'}",2023,Заочная
117,Милица,Рудольфовна,Богданова,2001-04-06,"{'id': 5, 'number': 105, 'course': 3, 'institute': 'Институт естествознания и стандартизации', 'department': 'Кафедра прикладной математики и информатики'}",2023,Заочная
118,Георгий,Вилорович,Корнилов,2005-07-08,"{'id': 5, 'number': 105, 'course': 3, 'institute': 'Институт естествознания и стандартизации', 'department': 'Кафедра прикладной математики и информатики'}",2023,Заочная
119,Анжелика,Ефимовна,Ковалева,2007-06-07,"{'id': 5, 'number': 105, 'course': 3, 'institute': 'Институт естествознания и стандартизации', 'department': 'Кафедра прикладной математики и информатики'}",2023,Заочная
120,Эрнст,Давидович,Носов,2009-03-29,"{'id': 5, 'number': 105, 'course': 3, 'institute': 'Институт естествознания и стандартизации', 'department': 'Кафедра прикладной математики и информатики'}",2023,Очная
121,Натан,Филимонович,Буров,2007-11-18,"{'id': 5, 'number': 105, 'course': 3, 'institute': 'Институт естествознания и стандартизации', 'department': 'Кафедра прикладной математики и информатики'}",2023,Заочная
122,Клавдия,Эдуардовна,Котова,2005-07-18,"{'id': 5, 'number': 105, 'course': 3, 'institute': 'Институт естествознания и стандартизации', 'department': 'Кафедра прикладной математики и информатики'}",2023,Заочная
123,Татьяна,Яковлевна,Семенова,2002-01-14,"{'id': 5, 'number': 105, 'course': 3, 'institute': 'Институт естествознания и стандартизации', 'department': 'Кафедра прикладной математики и информатики'}",2023,Очная
124,Евфросиния,Даниловна,Белоусова,2001-09-24,"{'id': 5, 'number': 105, 'course': 3, 'institute': 'Институт естествознания и стандартизации', 'department': 'Кафедра прикладной математики и информатики'}",2023,Очная
125,Галина,Егоровна,Захарова,2001-08-17,"{'id': 5, 'number': 105, 'course': 3, 'institute': 'Институт естествознания и стандартизации', 'department': 'Кафедра прикладной математики и информатики'}",2023,Заочная
126,Галина,Александровна,Исакова,2008-01-06,"{'id': 6, 'number': 106, 'course': 1, 'institute': 'Факультет физической культуры и спортивного мастерства', 'department': 'Кафедра спортивного совершенствования'}",2025,Заочная
127,Чеслав,Харитонович,Калинин,2000-11-26,"{'id': 6, 'number': 106, 'course': 1, 'institute': 'Факультет физической культуры и спортивного мастерства', 'department': 'Кафедра спортивного совершенствования'}",2025,Заочная
128,Игнатий,Ермилович,Крюков,2005-02-27,"{'id': 6, 'number': 106, 'course': 1, 'institute': 'Факультет физической культуры и спортивного мастерства', 'department': 'Кафедра спортивного совершенствования'}",2025,Заочная
129,Радован,Артёмович,Зимин,2004-04-27,"{'id': 6, 'number': 106, 'course': 1, 'institute': 'Факультет физической культуры и спортивного мастерства', 'department': 'Кафедра спортивного совершенствования'}",2025,Заочная
130,Капитон,Герасимович,Родионов,2002-04-21,"{'id': 6, 'number': 106, 'course': 1, 'institute': 'Факультет физической культуры и спортивного мастерства', 'department': 'Кафедра спортивного совершенствования'}",2025,Заочная
