id,first_name,second_name,last_name,department
44,Арсений,Теймуразович,Щербаков,Кафедра автоматизированных систем управления
45,Эдуард,Фролович,Лобанов,Кафедра автоматизированных систем управления
46,Ипатий,Августович,Федосеев,Кафедра бизнес-информатики и информационных технологий
47,Валерия,Тарасовна,Ситникова,Кафедра бизнес-информатики и информационных технологий
48,Карл,Измаилович,Макаров,Кафедра бизнес-информатики и информационных технологий
49,Куприян,Феодосьевич,Яковлев,Кафедра вычислительной техники и программирования
50,Радован,Ааронович,Пестов,Кафедра вычислительной техники и программирования
51,Иванна,Сергеевна,Фадеева,Кафедра вычислительной техники и программирования
52,Дарья,Сергеевна,Сысоева,Кафедра информатики и информационной безопасности
53,Валентина,Кузьминична,Одинцова,Кафедра информатики и информационной безопасности
54,Прасковья,Юльевна,Лазарева,Кафедра информатики и информационной безопасности
55,Герасим,Марсович,Фадеев,Кафедра промышленного и гражданского строительства
56,Галина,Тимофеевна,Пестова,Кафедра промышленного и гражданского строительства
57,Светлана,Александровна,Моисеева,Кафедра промышленного и гражданского строительства
58,Любомир,Эдгардович,Соколов,Кафедра урбанистики и инженерных систем
59,Валерия,Михайловна,Шашкова,Кафедра урбанистики и инженерных систем
60,Леон,Демидович,Павлов,Кафедра урбанистики и инженерных систем
61,Иларион,Артурович,Михайлов,Кафедра архитектуры и изобразительного искусства
62,Святослав,Арсеньевич,Мишин,Кафедра архитектуры и изобразительного искусства
63,Твердислав,Валерьянович,Гусев,Кафедра архитектуры и изобразительного искусства
64,Олимпиада,Тимуровна,Сергеева,Кафедра дизайна
65,Иванна,Станиславовна,Уварова,Кафедра дизайна
66,Элеонора,Олеговна,Силина,Кафедра дизайна
67,Еремей,Германович,Кулаков,Кафедра художественной обработки материалов
68,Ксения,Ниловна,Агафонова,Кафедра художественной обработки материалов
69,Мстислав,Феоктистович,Мясников,Кафедра художественной обработки материалов
70,Софрон,Филимонович,Ковалев,Кафедра менеджмента и государственного управления
71,Иосиф,Давидович,Голубев,Кафедра менеджмента и государственного управления
72,Лукия,Архиповна,Сафонова,Кафедра менеджмента и государственного управления
73,Таисия,Евгеньевна,Сафонова,Кафедра права и культурологии
74,Елена,Александровна,Богданова,Кафедра права и культурологии
75,Аристарх,Давыдович,Виноградов,Кафедра права и культурологии
76,Амос,Игнатович,Богданов,Кафедра философии
77,Раиса,Егоровна,Матвеева,Кафедра философии
78,Святослав,Гордеевич,Потапов,Кафедра философии
79,Василиса,Филипповна,Игнатьева,Кафедра экономики
80,Олимпиада,Ефимовна,Шарова,Кафедра экономики
81,Олимпиада,Наумовна,Пономарева,Кафедра экономики
82,Валентин,Богданович,Прохоров,Кафедра всеобщей истории
83,Нина,Матвеевна,Родионова,Кафедра всеобщей истории
84,Остап,Фролович,Князев,Кафедра всеобщей истории
85,Аполлинарий,Бориславович,Семенов,Кафедра иностранных языков по техническим направлениям
86,Милица,Львовна,Лаврентьева,Кафедра иностранных языков по техническим направлениям
87,Валентина,Ефимовна,Григорьева,Кафедра иностранных языков по техническим направлениям
88,Евдокия,Тарасовна,Третьякова,Кафедра лингвистики и перевода
89,Вера,Олеговна,Королева,Кафедра лингвистики и перевода
90,Клавдий,Фомич,Крылов,Кафедра лингвистики и перевода
91,Афиноген,Феофанович,Константинов,Кафедра русского языка как иностранного
92,Таисия,Болеславовна,Васильева,Кафедра русского языка как иностранного
93,Тимур,Авдеевич,Лыткин,Кафедра русского языка как иностранного
94,Вадим,Данилович,Сергеев,"Кафедра русского языка, общего языкознания и массовой коммуникации"
95,Орест,Чеславович,Трофимов,"Кафедра русского языка, общего языкознания и массовой коммуникации"
96,Ермил,Трифонович,Лихачев,"Кафедра русского языка, общего языкознания и массовой коммуникации"
97,Аристарх,Владленович,Щербаков,Кафедра языкознания и литературоведения
98,Агата,Натановна,Белоусова,Кафедра языкознания и литературоведения
99,Радован,Ермилович,Родионов,Кафедра языкознания и литературоведения
100,Тамара,Рудольфовна,Степанова,Кафедра дошкольного и специального образования
101,Евдокия,Кирилловна,Рябова,Кафедра дошкольного и специального образования
102,Анастасия,Харитоновна,Зиновьева,Кафедра дошкольного и специального образования
103,София,Аркадьевна,Дементьева,Кафедра педагогического образования и документоведения
104,Лонгин,Антонович,Васильев,Кафедра педагогического образования и документоведения
105,Фотий,Харлампович,Овчинников,Кафедра педагогического образования и документоведения
106,Светлана,Валериевна,Павлова,Кафедра психологии
107,Раиса,Артемовна,Якушева,Кафедра психологии
108,Дорофей,Арсеньевич,Кириллов,Кафедра психологии
109,Ангелина,Егоровна,Маслова,Кафедра социальной работы и психолого-педагогического образования
110,Варвара,Феликсовна,Крылова,Кафедра социальной работы и психолого-педагогического образования
111,Фока,Анатольевич,Орехов,Кафедра социальной работы и психолого-педагогического образования
112,Анжелика,Николаевна,Прохорова,Кафедра промышленной экологии и безопасности жизнедеятельности
113,Фортунат,Жанович,Колобов,Кафедра промышленной экологии и безопасности жизнедеятельности
114,Иванна,Григорьевна,Агафонова,Кафедра промышленной экологии и безопасности жизнедеятельности
115,Лонгин,Демидович,Белоусов,"Кафедра технологии, сертификации и сервиса автомобилей"
116,Николай,Васильевич,Агафонов,"Кафедра технологии, сертификации и сервиса автомобилей"
117,Клавдия,Робертовна,Веселова,"Кафедра технологии, сертификации и сервиса автомобилей"
118,Афанасий,Августович,Рыбаков,Кафедра химии
119,Януарий,Бориславович,Богданов,Кафедра химии
120,Синклитикия,Даниловна,Селезнева,Кафедра химии
121,Капитон,Васильевич,Тетерин,Кафедра прикладной математики и информатики
122,Милен,Арсеньевич,Бобылев,Кафедра прикладной математики и информатики
123,Зинаида,Максимовна,Боброва,Кафедра прикладной математики и информатики
124,Галина,Павловна,Щукина,Кафедра физики
125,Тихон,Ефимьевич,Костин,Кафедра физики
126,Стоян,Августович,Харитонов,Кафедра физики
127,Таисия,Кузьминична,Тетерина,Кафедра спортивного совершенствования
128,Валентина,Валентиновна,Белоусова,Кафедра спортивного совершенствования
129,Виктор,Борисович,Кононов,Кафедра спортивного совершенствования
130,Фадей,Витальевич,Дорофеев,Кафедра физической культуры
131,Кондрат,Глебович,Терентьев,Кафедра физической культуры
132,Мефодий,Гертрудович,Зимин,Кафедра физической культуры
